Date,Close,High,Low,Open,Volume
2016-08-11,186.2489471435547,186.49598024514216,185.65268051536748,185.91674052230485,72504300
2016-08-12,186.08714294433594,186.30009627357856,185.68678964554863,185.942323242528,61313500
2016-08-15,186.62376403808594,186.9730105941644,186.4448905321406,186.4534039855917,49813500
2016-08-16,185.66116333007812,186.274456719474,185.66116333007812,186.20632311881246,53213600
2016-08-17,186.01048278808594,186.14677604770182,184.86054252888354,185.69531599815977,75134300
2016-08-18,186.42782592773438,186.46189273466416,185.87415258107467,185.98487945182433,52989300
2016-08-19,186.1552734375,186.3341599500134,185.47383319350868,185.95936001723447,75443000
2016-08-22,186.14675903320312,186.37675226307763,185.5504923239354,185.91676580332864,61368800
2016-08-23,186.52157592773438,187.0582225137017,186.4619427525644,186.76008263313307,53399200
2016-08-24,185.56752014160156,186.4704400993404,185.15012697348288,186.3767401227276,71728900
2016-08-25,185.4397430419922,185.85713621615523,185.03087631886928,185.18419646592582,69224800
2016-08-26,185.0904998779297,186.64931972308202,184.2046197953318,185.62714639773398,122506300
2016-08-29,186.001953125,186.26601316896983,185.18420663620492,185.21828644695944,70502200
2016-08-30,185.6952667236328,186.19783336276384,185.14159337511722,185.9167334635116,58114500
2016-08-31,185.16712951660156,185.48229619359975,184.39197650262852,185.3630428835759,85269500
2016-09-01,185.17564392089844,185.46525724706987,184.01717761857662,185.1586040200542,97844200
2016-09-02,186.01048278808594,186.4363894761551,185.43976938579013,186.0275226949481,79293900
2016-09-06,186.5726318359375,186.64929189944218,185.57601201746544,186.29153193878327,56702100
2016-09-07,186.55555725097656,186.7344436968676,185.95077731002553,186.41075060317652,76554900
2016-09-08,186.1297149658203,186.4960014346624,185.82306166539124,186.22341494644138,74102900
2016-09-09,181.67474365234375,184.86904359887217,181.64919029258272,184.81793687935007,221589100
2016-09-12,184.28128051757812,184.68163379603857,180.8484740642897,180.91662068590415,168110900
2016-09-13,181.63211059570312,183.26759025031527,181.01029064834364,183.0035302588737,182828800
2016-09-14,181.56396484375,182.88427780483661,181.0102915040864,181.6832181629531,134185500
2016-09-15,183.37840270996094,183.76171617178238,181.22331567151642,181.40220221910886,134427900
2016-09-16,182.66946411132812,182.94342749776695,181.9845817718176,182.76363739250482,155236400
2016-09-19,182.7037353515625,183.96222703135763,182.3784070616497,183.32013997282112,80250500
2016-09-20,182.7122802734375,183.7139344539165,182.67804138032696,183.55983983997842,69665300
2016-09-21,184.76698303222656,184.94676009783961,182.7294225333122,183.41431802619306,110284400
2016-09-22,185.93128967285156,186.23093553533752,185.52892712117182,185.77719504411826,76678700
2016-09-23,184.91249084472656,185.67443352635397,184.81831756662461,185.537451837607,73630900
2016-09-26,183.41432189941406,184.2618684960777,183.21740578661957,184.08209142666828,89827300
2016-09-27,184.5529327392578,184.6470929586741,182.88349608546716,183.25163275907568,78494800
2016-09-28,185.46897888183594,185.62308656236328,183.8166811905737,184.77552697769812,87411000
2016-09-29,183.79100036621094,185.6658967386846,183.24308657792002,185.26352112161058,128070600
2016-09-30,185.1779022216797,185.87991058216204,184.37315105327025,184.62141895723138,117202900
2016-10-03,184.73272705078125,184.95531252922103,184.09919644758304,184.7669790094918,83512100
2016-10-04,183.79100036621094,185.0666180738813,183.20029122302313,184.84403258789584,119948100
2016-10-05,184.6042938232422,185.0323518152725,184.34745641536537,184.4159472616854,72816000
2016-10-06,184.73272705078125,184.95531252922103,183.8423720737274,184.38171632211893,62927400
2016-10-07,184.09922790527344,185.17794271296975,183.37153694951482,185.00672208004403,89788300
2016-10-10,185.05804443359375,185.52034134257795,184.91250627588957,185.05804443359375,51855000
2016-10-11,182.72084045410156,184.6984794829944,181.99314965685426,184.62998863208392,130367400
2016-10-12,182.9606170654297,183.48284852195496,182.36132521512693,182.85787422815898,73866100
2016-10-13,182.3612823486328,182.85783124494432,180.82028384808063,181.63359151521533,101357000
2016-10-14,182.4554443359375,183.79955277491104,182.37839702834248,183.3372428027531,93346200
2016-10-17,181.8219451904297,182.686617766202,181.642155057929,182.42978031832754,58275700
2016-10-18,182.9606170654297,183.474278998592,182.58392380979862,183.41435765154043,76869700
2016-10-19,183.4485321044922,183.75673438142863,182.86637950544184,183.2259466513188,66519200
2016-10-20,183.10610961914062,183.6625798404998,182.44689658612387,183.097540097914,73639800
2016-10-21,183.19174194335938,183.27735878920382,182.14727912788103,183.10613816081155,89089100
2016-10-24,183.97079467773438,184.33893140659717,183.6197839291966,184.06496797457876,60146600
2016-10-25,183.3544158935547,184.0478679666784,183.19175171575088,183.7910304787407,66542300
2016-10-26,182.9862518310547,183.56840448294915,182.29278684752947,182.532511363168,75705500
2016-10-27,182.4983367919922,183.7397029958702,182.4212894489163,183.70546408671422,77220200
2016-10-28,181.95889282226562,183.1488935654366,181.24832802261642,182.4725676586778,140623200
2016-10-31,181.96746826171875,182.51538200884306,181.80480412278754,182.292783476287,61272500
2016-11-01,180.64906311035156,182.34418248355638,179.44194927362747,182.29280454167187,122781800
2016-11-02,179.561767578125,180.72608581549633,179.12514007455266,180.34082317980477,103330800
2016-11-03,178.7399139404297,179.98984916370236,178.4659635880447,179.77582014393815,88939300
2016-11-04,178.5430145263672,179.69020696041335,178.39747635756683,178.85121684361937,109122100
2016-11-07,182.48110961914062,182.51536157260367,178.54298408491587,178.54298408491587,109794900
2016-11-08,183.3030242919922,183.8680640704405,181.82194705147958,182.08734096045808,106772100
2016-11-09,185.24639892578125,185.86280353964403,181.78768269651837,181.81336513348813,258429000
2016-11-10,185.70870971679688,186.8987106173026,184.2533149055971,186.03403802709047,172113300
2016-11-11,185.28062438964844,185.52033582618566,184.338904621336,184.98954808289514,100552700
2016-11-14,185.42611694335938,186.00828247699437,184.68130038180362,185.80280998336607,94580000
