Date,Close,High,Low,Open,Volume
2016-08-11,38.8995361328125,39.14239386943064,38.80635590166039,38.9069702832242,19502000
2016-08-12,38.818748474121094,38.82742291029134,38.67898190492995,38.73350153034518,14810000
2016-08-15,38.780086517333984,39.030378378098106,38.66460384706557,38.84501243247834,18764000
2016-08-16,38.51739501953125,38.70771830388422,38.33421093808813,38.67401506472349,20560000
2016-08-17,38.654693603515625,38.69930228782929,38.33848129385672,38.52632783201473,18484000
2016-08-18,38.535240173339844,38.8008994490329,38.51045715586219,38.65964305585391,14388000
2016-08-19,38.432159423828125,38.51542493993417,38.318661945811634,38.41134304480161,17230000
2016-08-22,38.27008056640625,38.38853916817266,38.16599868771947,38.325594683063855,19028000
2016-08-23,38.2666130065918,38.48270627136332,38.25199049526361,38.435125443837464,18564000
2016-08-24,38.14567565917969,38.38655193183166,38.018300621985894,38.192265768524045,21440000
2016-08-25,38.134281158447266,38.25719798290104,37.825748811875656,38.01483183931633,18538000
2016-08-26,38.140724182128906,38.464865971202364,37.95783502112604,38.113959730208585,23334000
2016-08-29,38.27008056640625,38.41084161760026,37.99575060691603,38.101072771023674,16952000
2016-08-30,38.1184196472168,38.384873050504964,38.00690361349266,38.13031580001243,22600000
2016-08-31,38.017311096191406,38.11841704397494,37.93454095291092,38.01532588328893,24972000
2016-09-01,38.10305404663086,38.214074716775606,37.88101270634136,38.12635099311457,18502000
2016-09-02,38.23589324951172,38.35781559912342,38.08472587146293,38.312715333521005,21454000
2016-09-06,38.663116455078125,38.758274323388925,38.21308194130338,38.33451268340808,28856000
2016-09-07,38.6765022277832,38.79446169427367,38.47081525295553,38.659153356737896,17874000
2016-09-08,38.42719650268555,38.67650143831531,38.34095885120713,38.58926928967216,25406000
2016-09-09,37.65104293823242,38.324355339922306,37.65104293823242,38.16848019700802,37710000
2016-09-12,38.114952087402344,38.177896575372365,37.37051610598595,37.4265218017281,26220000
2016-09-13,37.65253448486328,37.9761809702652,37.45973435224045,37.88993952392145,27900000
