Date,Close,High,Low,Open,Volume
2016-08-11,14.071228981018066,14.129736687612587,13.856698553590626,13.895704001308047,14451300
2016-08-12,14.558795928955078,14.617303629065347,14.071227421541586,14.10048127159672,24909900
2016-08-15,15.143882751464844,15.309656174993618,14.705071130932447,14.714822727602009,29105200
2016-08-16,15.104872703552246,15.20238678068111,14.851336846987731,15.192635186975592,21872700
2016-08-17,15.134127616882324,15.368160288080338,15.075618984101236,15.143878280709865,22552100
2016-08-18,15.377913475036621,15.407167329476307,15.124377589990644,15.163383039231311,16590700
2016-08-19,15.845979690551758,16.04100787686766,15.631450173545566,15.758217192702263,35059400
2016-08-22,15.787469863891602,16.021502540165965,15.514430811608321,15.748463487882686,22145800
2016-08-23,15.777719497680664,16.128769469373424,15.738713118636348,15.865481990603854,23741400
2016-08-24,15.124378204345703,15.836227914394188,14.997610256673378,15.797223393532414,26686900
2016-08-25,15.797224044799805,16.13852059113563,15.485179495371316,15.504681756606217,34837800
2016-08-26,16.099515914916992,16.392056340390162,15.884986393565113,15.933742511168418,24243700
2016-08-29,16.489566802978516,16.821113537438062,16.197026441950094,16.499318396336296,34467800
2016-08-30,16.323793411254883,16.587080851741153,16.09951234414121,16.577329258398002,23620900
2016-08-31,16.08001136779785,16.323795655108174,15.738712993578094,16.284791136300306,21963700
2016-09-01,16.226282119750977,16.382303920138845,15.894735328945112,16.197029194632357,15719500
2016-09-02,16.2847900390625,16.54807563807383,16.15802117664373,16.53832404404728,16099500
2016-09-06,16.58708381652832,16.65534312220483,16.333547924068014,16.38230403957221,22998600
2016-09-07,16.733354568481445,16.91863116130533,16.596835952677868,16.78211068557511,23023500
2016-09-08,17.016145706176758,17.41595182870093,16.460315912981173,16.752858203072538,39212100
2016-09-09,16.39205551147461,17.29893338847965,16.275040091173256,16.899127292584655,31389600
2016-09-12,16.723596572875977,16.77235453123638,15.962991021713023,16.197023642065158,28239200
2016-09-13,16.333547592163086,16.723602088050328,16.050756920190743,16.499320985405983,24345800
2016-09-14,16.50907325744629,16.65534346691275,16.236034169162707,16.460315281006388,18591300
2016-09-15,17.016145706176758,17.025895441912443,16.431062985920722,16.479819104305935,24303700
2016-09-16,17.04539680480957,17.63047946230489,16.908878200033712,17.63047946230489,37447400
2016-09-19,16.528579711914062,17.328192084161348,16.43106559970481,17.191671583097598,23999900
2016-09-20,16.499317169189453,16.84061547162251,16.304289036391673,16.626084153559727,17775800
2016-09-21,17.220922470092773,17.259928850103023,16.80161318461543,16.821116374620555,31384900
2016-09-22,17.15266227722168,17.601224464563664,16.977137296113437,17.445202672451106,25278000
2016-09-23,17.04539680480957,17.298932685055092,16.996640691654335,17.01614388088703,17947600
2016-09-26,16.928380966186523,17.162413651350327,16.752855987332058,16.918629371813893,19567200
2016-09-27,17.552471160888672,17.630482069428883,16.9186322965086,17.09415730570577,28621000
2016-09-28,17.006393432617188,17.708491552981858,16.72360274946061,17.708491552981858,42715600
2016-09-29,17.103906631469727,17.32818773126194,16.91863005080695,17.016144138520335,31870200
2016-09-30,17.337940216064453,17.552469732105493,17.14291203062597,17.308685430270696,21363100
2016-10-03,17.289182662963867,17.57197335277945,17.16241564127435,17.542718566269563,26856100
2016-10-04,17.35744285583496,17.59147743998362,17.22092423168721,17.532967863983075,54502800
2016-10-05,17.259929656982422,17.874265291450705,16.850371947361346,17.113657585032524,67739500
2016-10-06,17.289182662963867,17.44520447116327,17.10390792818124,17.20142016336087,21606800
2016-10-07,17.17216682434082,17.357441554673564,16.869872950779065,17.27943065244751,23849000
2016-10-10,17.06490135192871,17.396448155560314,17.055149756536412,17.27943087077937,18857600
2016-10-11,16.440811157226562,17.035643489324276,16.1190160070995,16.967384193831613,38070200
2016-10-12,16.362804412841797,16.616340331697476,16.255538715653337,16.460316654002092,17901800
2016-10-13,16.431060791015625,16.577330986558795,15.767967253965042,16.148270134362573,28593700
2016-10-14,16.7041015625,16.9771406831328,16.567582932147022,16.606589317920356,23539800
2016-10-17,16.567577362060547,16.743102319174657,16.509069662997916,16.596832141554973,12657800
2016-10-18,16.97713851928711,17.22092281951803,16.772360599857908,16.782110335131733,20185700
2016-10-19,16.791866302490234,16.821121095708698,16.43106648576464,16.577336732002774,18629500
2016-10-20,16.77235984802246,17.064900251215548,16.626087786499394,16.626087786499394,17129700
2016-10-21,16.51882553100586,16.64559255510148,16.382305051295155,16.577333245209477,18710300
2016-10-24,16.63583755493164,16.733351631932795,16.54807507162323,16.64558914862439,13838700
2016-10-25,17.103906631469727,17.17216593489114,16.674845761486754,16.674845761486754,27444000
2016-10-26,17.201419830322266,17.484210514662706,16.7723607960443,16.86987302933598,23610500
2016-10-27,17.09415054321289,17.454950155005516,16.967381704530915,17.37693927732662,21198300
2016-10-28,16.77235984802246,17.2306736423387,16.674845760315925,17.162414338922083,20832400
2016-10-31,16.733354568481445,17.318437273238647,16.733354568481445,17.10390775412922,23267600
2016-11-01,16.557828903198242,16.977138189026757,16.167774402401914,16.77236027358115,27146100
2016-11-02,16.265289306640625,16.59683611389266,16.08976430751582,16.528576805327827,24949700
2016-11-03,16.2067813873291,16.392056119668243,16.148271815080978,16.24578590890121,17255100
2016-11-04,16.265289306640625,16.59683611389266,16.04100818994856,16.05075792552068,18026600
2016-11-07,16.947887420654297,16.996645407263617,16.59683921670225,16.59683921670225,21673200
2016-11-08,16.97713851928711,17.11365713223991,16.6358401269785,16.86987283200899,18062700
2016-11-09,16.77235984802246,16.918630049619004,16.33354738330631,16.528575558719382,33873300
2016-11-10,16.567577362060547,17.318433296414813,16.333544705883806,16.91862727628877,30282200
2016-11-11,17.230676651000977,17.240428247467015,16.479820462457525,16.65534547899255,31043300
2016-11-14,17.269678115844727,17.5329655939789,17.09415499034846,17.32818768427,26313300
2016-11-15,17.64998435974121,17.718243668735422,17.220923454729,17.220923454729,25153900
2016-11-16,17.7865047454834,17.87426725432035,17.484212692782155,17.493964289311467,21629000
2016-11-17,18.7031307220459,18.85915251631295,17.796252880414613,17.893766966813143,45958100
2016-11-18,18.732385635375977,18.849402923466624,18.38133749095743,18.430093609371294,29121600
2016-11-21,19.00542449951172,19.18094949951592,18.868905881698083,18.907910403961978,22744000
2016-11-22,19.24920654296875,19.30771424944211,18.96641774507547,19.151692458895518,22219100
2016-11-23,19.414974212646484,19.434477395705187,18.985913484984565,19.14193522960237,20041300
2016-11-25,19.629512786865234,19.931806685258522,19.29796782011514,19.453989637383458,16308000
2016-11-28,19.492992401123047,19.775783081834348,19.453987880292257,19.678268989867462,22205900
2016-11-29,18.937164306640625,19.697771984512343,18.89815792627083,19.42473290170354,37924400
2016-11-30,19.0444278717041,19.2687089540719,18.878654493448256,19.093183981809666,26031700
2016-12-01,18.020532608032227,19.336968024577,17.727992230989546,19.21020102383887,40713100
2016-12-02,18.32282829284668,18.722634383224115,17.845009443442873,18.001031241642526,25887600
2016-12-05,18.147296905517578,18.527599672030338,17.942517205138937,18.527599672030338,26635500
2016-12-06,18.58611297607422,18.615367759231457,18.118047605117127,18.15705398266011,22267800
2016-12-07,19.93180274963379,20.029316831153583,18.82014519619039,19.015173359229976,44735700
2016-12-08,20.146337509155273,20.468132760369198,19.785537731089875,20.234100019479698,36257400
2016-12-09,19.99030876159668,20.331607088048216,19.62950724850763,20.214589828149368,23978000
2016-12-12,19.522247314453125,20.000064322298627,19.00542392559495,19.795284541835343,28676100
2016-12-13,19.629512786865234,19.9610596135421,19.307717556258485,19.63926438293535,26252400
2016-12-14,19.522247314453125,19.824539327594845,19.288214608156956,19.434484817101232,19489100
2016-12-15,19.785531997680664,19.990309889146292,19.483238167527087,19.60025543402627,19453100
2016-12-16,19.766029357910156,20.477878990729362,19.68801846472348,20.01956522574845,36643400
2016-12-19,19.844043731689453,20.185342146716394,19.68802191795029,19.922054638559032,23555900
2016-12-20,20.136581420898438,20.28285161883724,19.961056439401286,20.21459231712756,23018500
2016-12-21,20.068323135375977,20.312107430927156,19.834290434838035,20.23409653074784,32034500
2016-12-22,22.613433837890625,22.90597427525384,22.203876109626083,22.34039473240535,85870000
2016-12-23,22.681692123413086,22.905973239242684,22.486663934040685,22.496415529501974,27780100
2016-12-27,22.72069549560547,23.052242284805427,22.632933000821566,22.769453470444617,24214100
2016-12-28,22.213626861572266,22.827962500665425,22.194123670508567,22.818210905133572,24026900
2016-12-29,21.7163028717041,22.23312432551022,21.5992856056024,22.018594840904505,19890500
2016-12-30,21.375011444091797,21.843076940111406,21.209238015093984,21.794320815081967,20268900
2017-01-03,21.98934555053711,22.1746221598291,21.50177689655689,21.521280089098536,24962900
2017-01-04,21.804065704345703,22.2721310563713,21.696800030367445,22.106357678371438,20426800
2017-01-05,21.560285568237305,22.00884781828604,21.414013490248017,21.843074408501348,19759400
2017-01-06,21.492021560668945,21.726054230413226,21.433511998288132,21.71630263668309,17782200
2017-01-09,21.784563064575195,21.989340963767273,21.39450859473808,21.39450859473808,21537200
2017-01-10,21.92108726501465,22.1258670764557,21.745562243758574,21.80407182412853,20644300
2017-01-11,22.223377227783203,22.31113786286189,21.999094262810566,22.04785223777269,20907700
2017-01-12,21.75531005859375,21.92108345430383,21.16047764098534,21.901580264237566,27592300
2017-01-13,21.628538131713867,21.7553051185058,21.44326158800921,21.7163006071568,14025700
2017-01-17,21.199485778808594,21.521281030108845,21.043463951507068,21.336004412715702,20053800
2017-01-18,21.765060424804688,21.78456361376983,20.99470305994627,21.140973257331897,19493400
2017-01-19,21.17022705078125,21.74555812940919,20.955697543128636,20.965449138011923,31259000
2017-01-20,21.41400909423828,21.774810627323138,21.34574979715026,21.355501391009454,19978700
2017-01-23,21.34575080871582,21.75530847057906,21.1994806137489,21.41401010903862,16070300
2017-01-24,22.281885147094727,22.515917849331384,21.706554056623816,21.71630565170783,29461400
2017-01-25,22.97423553466797,23.383793297659608,22.613435755322296,22.818213706854667,31611800
2017-01-26,22.935222625732422,23.39353634494702,22.710941562707806,23.20825979465762,19379100
2017-01-27,23.374040603637695,23.500809495239157,22.86697061701228,22.944981527256715,18626100
2017-01-30,23.578821182250977,23.637328901880046,22.847468177143575,23.227771144622825,30508100
2017-01-31,23.51055908203125,23.549563603856292,23.0912497778338,23.354537274877778,22712500
2017-02-01,24.134645462036133,24.23215955305998,23.70558457748716,23.82260185870109,28728200
