Date,Close,High,Low,Open,Volume
2016-08-11,123.81272888183594,124.28854617688953,123.66403314101436,124.11011280049955,11729500
2016-08-12,123.79287719726562,123.91183528180832,123.0989739448788,123.61444385194069,12159000
2016-08-15,122.8214340209961,123.83255144517022,122.6231705122505,123.82264394196761,19295100
2016-08-16,122.2266616821289,122.84125966718523,121.71118410945874,122.42491763286068,14222400
2016-08-17,123.2873306274414,123.29723812958444,121.78055837403994,122.58351226337076,13794200
2016-08-18,122.83135223388672,123.17830392935534,122.56369838096826,122.93048020930922,12400800
2016-08-19,122.48438262939453,123.07916555764872,122.20682129646477,122.52403532881009,11688300
2016-08-22,123.06925964355469,123.74334045778592,122.03831207102574,122.25639815253874,14386400
2016-08-23,123.2873306274414,124.00105649365508,123.16837253491643,123.42611128723118,13309500
2016-08-24,122.40509796142578,123.60456388660867,122.01848599127865,123.38647779785181,12243700
2016-08-25,122.81151580810547,123.28734065392365,122.02839198532973,122.04822211718597,10730800
2016-08-26,123.87220764160156,124.10020879234648,122.83135255249587,122.9701332310433,17504800
2016-08-29,125.43843841552734,125.62678683794475,123.26750049559183,123.26750049559183,15925900
2016-08-30,124.74453735351562,125.49792353939242,124.06054906596344,125.49792353939242,17804300
2016-08-31,125.02210998535156,125.12123795837465,124.01098499676924,124.50663242486422,14200600
2016-09-01,125.07166290283203,125.52765760255245,124.50662517024594,125.27983390294489,13536100
2016-09-02,125.40872192382812,125.75567363178519,124.90315939910211,125.74575856499212,12118800
2016-09-06,128.60067749023438,128.80885606550805,125.36906170359678,125.56731764969224,26278400
2016-09-07,129.90921020507812,130.83110727637796,128.81877967626662,128.90799259427092,27990800
2016-09-08,129.13597106933594,129.93891739513802,128.6799688297919,129.78030660521335,15676600
2016-09-09,125.99357604980469,128.8187649074121,125.99357604980469,128.5808638200089,27100700
2016-09-12,127.56973266601562,127.63911543784107,124.65532347825922,124.86349448267336,21252800
2016-09-13,126.10262298583984,127.2327061267738,125.55741533007877,126.91548449915734,18016200
2016-09-14,126.65774536132812,127.67878545571753,125.78540857671156,125.78540857671156,15691100
2016-09-15,127.23269653320312,127.97616765016545,126.55860818832548,126.8659147261625,15077200
2016-09-16,127.94644165039062,128.05546956987266,127.08400479063667,127.08400479063667,24119200
2016-09-19,127.53008270263672,128.8088615928508,127.1434782970752,128.77912395595837,14958800
2016-09-20,127.52019500732422,128.04558017531437,126.91550441998208,127.53010251250743,11083800
2016-09-21,128.80886840820312,128.8782511893033,127.27235820830364,128.0059219177033,14068300
2016-09-22,128.9476776123047,129.5920134228368,128.43219988830063,129.3640197688589,15538300
2016-09-23,126.84609985351562,127.48053557425115,126.19184912463429,126.44958036417349,28326300
2016-09-26,126.20174407958984,127.04435074677319,125.69618915485518,126.2612269130135,15064900
2016-09-27,127.56973266601562,127.88693914256922,126.32069907655156,126.499132446475,15637100
2016-09-28,128.1050567626953,128.34297302317376,127.28228004524826,128.08524175212713,12047600
2016-09-29,126.9749526977539,128.16450348311392,126.4396601384275,128.05546044544167,14532200
2016-09-30,127.15339660644531,127.47060309784037,126.34052755644433,126.91548039342958,18402900
2016-10-03,127.64904022216797,127.96624670407802,126.6874830215089,127.26243584130208,13156900
2016-10-04,127.07408905029297,128.15459680493566,126.43966095228672,128.0455537665615,14307500
2016-10-05,127.35165405273438,127.6787831772453,126.71722593652031,127.1335679697271,12386800
2016-10-06,127.61932373046875,127.93653026493189,126.9650654003143,127.31200957469709,11682700
2016-10-07,127.86713409423828,128.1248653218807,127.21287583257707,127.91668673827587,12804400
2016-10-10,129.10626220703125,129.56224942223008,128.07530696874016,128.5511243185879,15138700
