Date,Close,High,Low,Open,Volume,SPY_Close,SPY_5d_return,SPY_20d_return,SPY_daily_return,future_5d_return,future_20d_return,daily_return,rel_5d_return,rel_20d_return,rel_daily_return,5d_MA,20d_MA,MA_ratio,change,gain,loss,RSI,20d_volatility,10d_volatility,return_10d,return_20d,volume_ratio,close_MA20_ratio,SPY_volatility_20d,return_class_5d,return_class_20d,rel_class_5d,rel_class_20d,SPY_20d_MA,SPY_MA_ratio,stock_5d_return,SPY_5d_return_past,SPY_20d_return_past,rel_5d_performance,rel_20d_performance,outperform_20d,outperform_20d_past,outperform_5d,outperform_5d_past
2016-09-09,4.104000091552734,4.28249979019165,4.073999881744385,4.264999866485596,9506000,181.67471313476562,0.5475534917254272,1.334536176594547,-2.393501072863385,1.0964930626236826,8.089663044377458,-5.021985712762837,0.5489395708982554,6.755126867782911,-2.628484639899452,4.252799987792969,4.114500033855438,1.0336128211932323,-0.21700000762939453,0.0,0.21700000762939453,42.64231364932638,2.448996116993714,2.506487281905391,0.010091037985130225,0.028313744995584367,0.7400084074172103,0.9974480636246672,0.6040323713926914,2.0,3.0,3.0,3.0,185.7357421875,0.9781354466032997,0.9097659230140609,-1.8906485398383577,-2.4559864434018253,2.8004144628524186,5.287360942960262,True,True,True,True
2016-09-12,4.163000106811523,4.232999801635742,3.9779999256134033,4.007999897003174,10295000,184.28128051757812,-0.8560528565814622,0.42149338025866895,1.4347441852730258,3.1707894810389945,5.0444398933204315,1.4376221720908053,4.026842337620456,4.622946513061763,0.00287798681777951,4.236999988555908,4.125750041007995,1.0269647812984648,0.05900001525878906,0.05900001525878906,-0.0,45.7317005209835,2.4381358789981618,2.4483149291183777,0.002649363327064558,0.05713563867996996,0.7995899140605887,1.0090286773152228,0.6973718396026806,3.0,3.0,4.0,3.0,185.64545059204102,0.9926517451943345,-1.8623289549071886,-0.9296018663897287,-0.9704228764850331,-0.9327270885174599,6.683986744482029,True,True,True,False
2016-09-13,4.057000160217285,4.15399980545044,3.994999885559082,4.118000030517578,5907000,181.63217163085938,0.59469333502248,0.5993894541126998,-1.4375355322463468,4.658605999473916,4.264231008729751,-2.5462393436118487,4.063912664451435,3.664841554617051,-1.108703811365502,4.184600067138672,4.13320004940033,1.0124358891715874,-0.10599994659423828,0.0,0.10599994659423828,44.16094173272119,2.5108443787533017,2.5835867010444273,-0.01981149551987349,0.03812696216416711,0.4698872811448481,0.9815639484485876,0.7579198006808027,4.0,2.0,4.0,3.0,185.3958724975586,0.9796991118734384,-6.0662102616819364,-2.6480170275757553,-2.6746661828517815,-3.4181932341061816,6.487362399268493,True,True,True,False
2016-09-14,4.090000152587891,4.1743998527526855,4.056000232696533,4.073999881744385,5796000,181.56393432617188,1.7641352943539503,0.7692091771946052,-0.03756895272175805,8.801947267641577,3.6430240941493364,0.8134087026715339,7.037811973287626,2.873814916954731,0.850977655393292,4.147000122070312,4.1458500623703,1.0002774002153263,0.03299999237060547,0.03299999237060547,-0.0,49.79382923121998,2.4672132563080225,2.6018008734047458,-0.009445394179399602,0.06593699933339714,0.48710999054522536,0.9865287193356725,0.7527252432365983,5.0,2.0,5.0,3.0,185.19100799560547,0.9804144180179651,-4.394570610244597,-2.675684310278348,-2.2068636319031665,-1.718886299966249,8.80056356524288,True,True,True,False
2016-09-15,4.177000045776367,4.210000038146973,4.077000141143799,4.120999813079834,5237000,183.37835693359375,1.3921502321040875,-0.5546234262204561,0.9993298581877731,5.003593687712647,0.7661016159722295,2.1271366734162243,3.6114434556085597,1.3207250421926857,1.127806815228451,4.11820011138916,4.161000061035156,0.9897140233073324,0.08699989318847656,0.08699989318847656,-0.0,55.55555039162476,2.496020707353317,2.693374767051906,0.009912932259035445,0.07821372421999162,0.5658593509419284,1.0038452257886368,0.79047689976272,4.0,2.0,4.0,2.0,185.0594039916992,0.9909161759854103,-3.3325630664303385,-1.478201944254387,-1.4150174153717887,-1.8543611221759515,9.23638983737095,True,True,True,False
2016-09-16,4.14900016784668,4.185999870300293,4.080999851226807,4.185999870300293,6893000,182.6694793701172,1.2279321420913312,-0.11715395332569792,-0.3865655551343315,4.483004646317632,3.205589096714846,-0.6703346330579999,3.2550725042263005,3.322743050040544,-0.2837690779236684,4.127200126647949,4.167200064659118,0.9904012436670854,-0.0279998779296875,0.0,0.0279998779296875,49.84457079947083,2.365333890783467,2.6371788339899167,0.020162345058697184,0.03080747069347045,0.8108314757415174,0.9956325838620548,0.7903780697735903,4.0,2.0,4.0,3.0,184.87148666381836,0.9880889836857025,1.0964930626236935,0.5475534917254166,-2.015979395197176,0.5489395708982769,5.096726464544221,True,True,True,True
2016-09-19,4.295000076293945,4.486999988555908,4.178999900817871,4.197999954223633,16824000,182.7037353515625,0.3889199570524397,-0.4826422504307784,0.018752985755165194,0.5820743870394441,-2.1653069498986817,3.518917872761601,0.19315442998700444,-1.6826646994679033,3.5001648870064357,4.153600120544434,4.169900059700012,0.9960910480054165,0.14599990844726562,0.14599990844726562,-0.0,57.10383415440845,2.1809379430725393,2.5113361981258073,0.01249409995527273,0.012732822113549869,1.9855778876680317,1.030000722991652,0.7907178705090648,2.0,1.0,2.0,2.0,184.69891052246095,0.9891976884690079,3.1707894810389936,-0.8560528565814574,-1.854109768865586,4.026842337620451,3.127391980220573,False,True,True,True
2016-09-20,4.245999813079834,4.331999778747559,4.151999950408936,4.313000202178955,9732000,182.7123260498047,1.0073962971329693,0.1358500146355905,0.0047019828169670925,3.3207790167383773,0.04711097425157844,-1.1408675749405925,2.313382719605408,-0.08873904038401205,-1.1455695577575595,4.191400051116943,4.1698500394821165,1.0051680543498642,-0.04900026321411133,0.0,0.04900026321411133,55.145101913974734,2.1980017277888333,2.4675331205096813,-0.01690205097399433,-0.0002355555231201567,1.1514706926335219,1.0182619933275046,0.7907737141268795,3.0,2.0,3.0,2.0,184.5271903991699,0.9901647863090567,4.658605999473919,0.5946933350224892,-1.844997488382949,4.06391266445143,1.8214419360709333,False,True,True,True
2016-09-21,4.449999809265137,4.465000152587891,4.275000095367432,4.293000221252441,10570000,184.7669677734375,0.37992753752450265,-0.7135750202661053,1.124522777446743,-3.9325780089551094,-2.494372785519923,4.804522024633143,-4.3125055464796125,-1.7807977652538178,3.6799992471864,4.263399982452393,4.183550024032593,1.0190866508016154,0.20399999618530273,0.20399999618530273,-0.0,61.76910145513962,2.402872148342898,2.8927431140777156,0.0402056886964397,0.06561295096992859,1.3002989334350281,1.0636898767080376,0.8344192293937787,1.0,1.0,1.0,2.0,184.43946228027343,1.0017756801560525,8.801947267641586,1.7641352943539523,-0.9406755222873264,7.037811973287633,7.5019706192801845,False,True,False,True
2016-09-22,4.386000156402588,4.519999980926514,4.360000133514404,4.499000072479248,10216000,185.93125915527344,-1.1511268063011897,-1.5194591533280029,0.6301404389899387,-2.0519869899345613,-1.6187892533128276,-1.4381945079929699,-0.9008601836333716,-0.09933009998482478,-2.0683349469829087,4.305200004577637,4.198150038719177,1.0254993187168508,-0.06399965286254883,0.0,0.06399965286254883,62.00151841654128,2.37905064077671,2.9417942826747776,0.01504282706051363,0.07132396275685027,1.2392944658757308,1.0447459275992723,0.8397808476347367,1.0,1.0,2.0,2.0,184.45765228271483,1.0079888627786504,5.0035936877126375,1.3921502321040835,0.19604732994669138,3.611443455608554,6.936348945738335,False,True,False,True
