Date,Close,High,Low,Open,Volume,SPY_Close,SPY_5d_return,SPY_20d_return,SPY_daily_return,future_5d_return,future_20d_return,daily_return,rel_5d_return,rel_20d_return,rel_daily_return,5d_MA,20d_MA,MA_ratio,change,gain,loss,RSI,20d_volatility,10d_volatility,return_10d,return_20d,volume_ratio,close_MA20_ratio,SPY_volatility_20d,return_class_5d,return_class_20d,rel_class_5d,rel_class_20d,SPY_20d_MA,SPY_MA_ratio,stock_5d_return,SPY_5d_return_past,SPY_20d_return_past,rel_5d_performance,rel_20d_performance,outperform_20d,outperform_20d_past,outperform_5d,outperform_5d_past
2016-09-09,100.8319320678711,103.31839476696902,100.8240428753614,103.12105655310862,6315000,181.6747589111328,0.5475617527183442,1.3345022444958892,-2.393452473911099,-1.276050992706475,0.4462009362267325,-2.6816758178278195,-1.823612745424819,-0.8883013082691567,-0.28822334391672033,104.35874481201172,105.89577903747559,0.985485406128228,-2.778495788574233,0.0,2.778495788574233,23.708393498998873,0.8180318254128418,0.9964458783667564,-0.051944808076512694,-0.06308300140832712,1.4465912331760753,0.9521808421862362,0.6040252369221994,1.0,2.0,1.0,2.0,185.73575897216796,0.9781356046702688,-4.834959087561463,-1.8906157349619424,-2.455961865349632,-2.944343352599521,-3.8523382754830804,False,False,False,False
2016-09-12,101.50287628173828,101.70811572356024,99.45845536765508,99.85313177784418,7882600,184.28128051757812,-0.8560611367437335,0.4215182207454829,1.43471862688438,-1.7886552239013513,-1.0421006623103792,0.6654084674441897,-0.9325940871576178,-1.463618883055862,-0.7693101594401902,103.32311553955078,105.60832824707032,0.9783614346950622,0.6709442138671875,0.6709442138671875,-0.0,28.508999861508954,0.8472299734189145,1.0582149174829039,-0.03803629959749055,-0.05360293134306282,1.730513175992,0.9611256798258624,0.697362713402743,1.0,2.0,2.0,2.0,185.64546585083008,0.9926516636051423,-4.853858946949097,-0.9296181202525067,-0.9704391169560789,-3.92424082669659,-4.389854017350203,False,False,False,False
2016-09-13,99.2374267578125,101.03715002914124,99.00851374210372,100.83191663190516,6376300,181.63211059570312,0.5947019357930252,0.5993980564613159,-1.437568652895432,0.8828846809102125,0.10341157483888984,-2.231906727093768,0.28818274511718733,-0.4959864816224261,-0.7943380741983359,102.00016174316406,105.1883644104004,0.9696905386341276,-2.2654495239257812,0.0,2.2654495239257812,19.535056924144172,0.9388613045353819,1.1349091432805238,-0.06562617225510747,-0.07803357461689897,1.3990753722975924,0.9434258942427334,0.7579135810828587,3.0,2.0,3.0,2.0,185.39588088989257,0.9796987383100234,-6.249061661599365,-2.648041779556831,-2.6747386754738867,-3.601019882042533,-5.128618786216011,False,False,True,False
2016-09-14,99.66366577148438,100.20831499661423,99.1190105240718,99.15058535226932,4313900,181.56394958496094,1.7641351460945167,0.7691923043791588,-0.03752696068918553,1.4652323381343317,0.34058489567114003,0.42951437536979387,-0.298902807960185,-0.4286074087080187,0.4670413360589794,100.96926574707031,104.82230377197266,0.9632421928706687,0.426239013671875,0.426239013671875,-0.0,23.79881591033842,0.9553852551520488,1.1846757442685054,-0.0584638790439187,-0.06843222022086726,0.9784526752704756,0.9507868286151178,0.7527183911975087,3.0,2.0,2.0,2.0,185.19101638793944,0.9804144559832184,-4.917545472199603,-2.6756840914282876,-2.2068634505294615,-2.241861380771315,-4.636358571557264,False,False,False,False
2016-09-15,100.21620178222656,100.75296177188386,99.22951106758316,99.434744422468,5100700,183.3783416748047,1.3921669898101021,-0.554631793303363,0.9993129660327886,1.4098851527817133,-0.5277210571809088,0.5544006498908836,0.017718162971611218,0.026910736122454204,-0.4449123161419051,100.29042053222656,104.48701133728028,0.9598362442245834,0.5525360107421875,0.5525360107421875,-0.0,25.398368317606398,0.9748430582838953,1.2270250655888475,-0.053385092467192474,-0.0627171725943304,1.158506186368979,0.9591259286643036,0.7904690364323637,3.0,2.0,2.0,3.0,185.05941009521484,0.9909160608501604,-3.275950253696036,-1.4781859119320506,-1.4150417927838554,-1.7977643417639855,-4.856675466649185,True,False,True,False
2016-09-16,99.5452651977539,100.2635729922752,99.22162771397628,100.2635729922752,6941200,182.66954040527344,1.2278732592619879,-0.11719568028249923,-0.38652398263487836,1.332153345937953,0.2458230431243393,-0.6694891370265915,0.10428008667596522,0.36301872340683855,-0.28296515439171316,100.03308715820313,104.17118186950684,0.9602760126453455,-0.6709365844726562,0.0,0.6709365844726562,25.747750751608677,0.9657621251051011,1.2075352812253968,-0.060493135368341555,-0.05966822876972222,1.532833739478772,0.9555931248092421,0.79036971001828,3.0,2.0,3.0,3.0,184.8714958190918,0.9880892649022913,-1.276050992706479,0.5475617527183507,-2.01594665590199,-1.8236127454248297,-3.950876221070232,True,False,True,False
2016-09-19,99.68733978271484,100.53984202927288,99.59261530344762,99.9951868124804,4525400,182.70372009277344,0.3889533961639668,-0.48264229073940645,0.018711213387940004,-0.6651273792364876,-0.9106077282188519,0.14272359883586225,-1.0540807754004544,-0.4279654374794455,0.12401238544792224,99.66997985839843,103.83654022216797,0.9598738521636527,0.1420745849609375,0.1420745849609375,-0.0,22.281699478262155,0.9538253690601514,1.1535666244208191,-0.06555695369235037,-0.06291428914856312,0.9931386222160286,0.9600410372824872,0.7907091928834727,2.0,2.0,1.0,2.0,184.69891891479492,0.9891975609075335,-1.7886552239013476,-0.8560611367437354,-1.854117965673574,-0.9325940871576122,-4.437310949182738,False,False,False,False
2016-09-20,100.11357879638672,100.5082550455038,99.71890254726964,100.13725840776868,3627100,182.7122802734375,1.0074383058554401,0.13586675120375152,0.004685279894528587,-0.007864602635222106,-0.8594059771132442,0.4275758733264765,-1.0153029084906622,-0.9952727283169958,0.4228905934319479,99.84521026611328,103.52792205810547,0.9644278401538354,0.426239013671875,0.426239013671875,-0.0,25.750279839678882,0.9673044495826297,1.2029541211825674,-0.054213489888000455,-0.05807318597920874,0.7884322976613964,0.9670200734850793,0.7907647920973979,2.0,2.0,1.0,2.0,184.52719421386718,0.9901645177657328,0.8828846809102231,0.5947019357930294,-1.84504621775895,0.28818274511719366,-3.962272380161924,False,False,False,True
2016-09-21,101.12397003173828,101.50285593709906,99.89258180589142,100.65824882947383,5367400,184.76698303222656,0.3799522813364628,-0.7135584445443344,1.124556464247561,0.12488568994684908,-1.7328728816378955,1.009244947088066,-0.25506659138961374,-1.0193144370935612,-0.11531151715949495,100.13727111816407,103.23526992797852,0.9699908876881346,1.0103912353515625,1.0103912353515625,-0.0,31.50767224940428,0.9888461195393011,1.285624326685179,-0.035243666005663976,-0.05471308703065847,1.1369899866757331,0.979548657181667,0.8344135327804746,2.0,1.0,2.0,2.0,184.43946533203126,1.001775746311158,1.4652323381343368,1.7641351460945254,-0.9406835490900267,-0.29890280796018853,-4.53062515397582,False,False,False,False
2016-09-22,101.62913513183594,102.33954756930108,101.60545552022464,101.68439558863784,4099700,185.9312744140625,-1.1511185051495292,-1.519467235313157,0.630140386950446,-0.6368643049249388,-1.941709818693174,0.49955030438293474,0.5142542002245903,-0.42224258338001697,-0.1305900825675113,100.41985778808593,103.01342506408692,0.974823016763228,0.5051651000976562,0.5051651000976562,-0.0,33.670912616080045,0.9936144673235807,1.277278474724818,-0.019122522371536887,-0.041831462693871724,0.8685722275952877,0.9865620434289047,0.839776296396485,2.0,1.0,3.0,2.0,184.4576515197754,1.0079889496702668,1.4098851527817091,1.3921669898101063,0.19600611938390688,0.01771816297160278,-4.379152388771079,False,False,True,True
