Date,Close,High,Low,Open,Volume,SPY_Close,SPY_5d_return,SPY_20d_return,SPY_daily_return,future_5d_return,future_20d_return,daily_return,rel_5d_return,rel_20d_return,rel_daily_return,5d_MA,20d_MA,MA_ratio,change,gain,loss,RSI,20d_volatility,10d_volatility,return_10d,return_20d,volume_ratio,close_MA20_ratio,SPY_volatility_20d,return_class_5d,return_class_20d,rel_class_5d,rel_class_20d,SPY_20d_MA,SPY_MA_ratio,stock_5d_return,SPY_5d_return_past,SPY_20d_return_past,rel_5d_performance,rel_20d_performance,outperform_20d,outperform_20d_past,outperform_5d,outperform_5d_past
2016-09-09,23.5843505859375,24.176647329951983,23.5843505859375,23.929666407859465,186228000,181.67469787597656,0.547561936676361,1.3345278897196116,-2.3934692622095746,11.432178848154532,10.598259990786893,-2.264972201816284,10.88461691147817,9.263732101067282,0.12849706039329067,24.35227813720703,24.61446542739868,0.9893482435779488,-0.5465583801269531,0.0,0.5465583801269531,23.353403210466695,0.9354440612707583,1.194644825156418,-0.04127535194482812,-0.04447324979301415,1.6153240848682677,0.9581500218032545,0.604029682537138,5.0,5.0,5.0,5.0,185.7357421875,0.9781353644500809,-3.3729844287006983,-1.8906082737411012,-2.4560026275574187,-1.482376154959597,-1.991322351743996,True,False,True,False
2016-09-12,24.11261749267578,24.1766492008252,23.44714135855181,23.47458426693007,181171200,184.28128051757812,-0.8560694169060048,0.42148510009639767,1.43475270473877,7.719999974687476,10.062580505738195,2.2399044010703766,8.576069391593482,9.641095405641797,0.8051516963316065,24.247539138793947,24.58313579559326,0.986348500875162,0.5282669067382812,0.5282669067382812,-0.0,38.327139833558725,1.0829698773915166,1.4552861991850432,-0.014026500645268114,-0.02532791600243356,1.5020644232714393,0.9808601186264518,0.6973705099913353,5.0,5.0,5.0,5.0,185.64545135498048,0.9926517411148745,-2.125703643310195,-0.9296262471819028,-0.9704147562475174,-1.1960773961282922,-1.5623768439958385,True,False,True,False
2016-09-13,24.686613082885746,24.878709919520208,24.52424649480716,24.585992592013305,248704800,181.63211059570312,0.5947019357930252,0.599406457392744,-1.437568652895432,5.206091836486335,7.735062364331921,2.3804781475271852,4.61138990069331,7.135655906939177,3.818046800422617,24.258972549438475,24.565641021728517,0.9875163659674587,0.5739955902099645,0.5739955902099645,-0.0,47.062592823264545,1.186008763658894,1.6582935511875048,0.010578247054538581,-0.013975410207612171,1.9448842788817953,1.004924441460747,0.7579213858293166,5.0,4.0,5.0,5.0,185.39587020874023,0.9796987947530901,0.2321085628714803,-2.648049741458103,-2.6746988877790145,2.880158304329583,1.2771578670177974,True,True,True,True
2016-09-14,25.560192108154297,25.848336490600545,24.83525907948568,24.864989328027217,443554800,181.5640106201172,1.7641009367274283,0.7691416213105343,-0.03749335696347325,1.5925719029957832,4.9834332047201,3.5386750800342432,-0.17152903373164508,4.214291583409566,3.5761684369977167,24.414936447143553,24.59296884536743,0.9927608415501484,0.8735790252685511,0.8735790252685511,-0.0,60.20740136416163,1.4334885166563234,1.938335681478155,0.05443376075941808,0.021850341179726174,3.095390594217841,1.0393292598737651,0.7527272718074117,3.0,3.0,2.0,4.0,185.19100952148438,0.9804148219142009,3.146923980907723,-2.6756672952940264,-2.206822538807085,5.8225912762017495,4.391856656779702,True,True,False,True
2016-09-15,26.42919540405273,26.465785938468404,25.95352892504526,26.038143227331968,359934400,183.3783416748047,1.3921586688770393,-0.5546401142364259,0.9992790137708454,-0.8219818698936324,1.2200835563933623,3.3998308472071366,-2.2141405387706716,1.7747236706297882,2.400551833436291,24.87459373474121,24.665576171875,1.0084740596128683,0.869003295898434,0.869003295898434,-0.0,68.46722793657845,1.6078072835927875,2.1251583025602026,0.08925518707638735,0.058139235643195564,2.3040110284944166,1.0715012379961635,0.7904746825275535,1.0,2.0,0.0,3.0,185.0594024658203,0.990916101702392,9.524243124120947,-1.4781697584224207,-1.4150498798930267,11.002412882543366,7.228973444212583,True,True,False,True
2016-09-16,26.280555725097656,26.55726516534714,26.07931297166161,26.326293904105707,319547600,182.6694793701172,1.2279070824221707,-0.11715395332569792,-0.3865572663671297,-1.9230718985555844,2.358160274861415,-0.5624071284904939,-3.1509789809777553,2.475314228187113,-0.17584986212336418,25.41383476257324,24.73235273361206,1.02755427420518,-0.14863967895507457,0.0,0.14863967895507457,68.40409099914798,1.6167312670623064,2.1732976065927345,0.07673588807044363,0.053538982704046445,1.904322268932252,1.0625982901085482,0.7903759800443165,1.0,2.0,0.0,3.0,184.871484375,0.9880889959188288,11.432178848154528,0.5475619366763551,-2.015987415015963,10.884616911478172,7.369885685420607,True,True,False,True
2016-09-19,25.97411155700684,26.56869378386153,25.89864488826544,26.342295522370065,188092000,182.70370483398438,0.3889283736732347,-0.48262562773151424,0.01873627930905814,-0.6162984568489512,3.4953294979444216,-1.1660490413380635,-1.0052268305221859,3.977955125675936,-1.1847853206471217,25.786133575439454,24.780605220794676,1.0405772314955806,-0.30644416809081676,0.0,0.30644416809081676,64.75974306938566,1.6484955422356327,2.2548404796282613,0.05430192010651802,0.038588002654982745,1.0927182711892371,1.0481629211868737,0.790715695180763,2.0,3.0,1.0,4.0,184.69890518188475,0.9891975518429004,7.719999974687486,-0.8560694169060024,-1.8541422521365591,8.576069391593489,5.712942517634834,True,True,False,True
2016-09-20,25.971820831298828,26.0975985961602,25.72941467872872,25.85290509930193,138057200,182.7122802734375,1.007404900790297,0.13585004867117992,0.004693631944090658,-0.42262031794161203,3.434044366357405,-0.008819264916853002,-1.4300252187319091,3.298194317686225,-0.01351289686094366,26.04317512512207,24.83846244812012,1.048501902221936,-0.002290725708011365,0.0,0.002290725708011365,67.13434783396669,1.633348509843897,2.2543031777340232,0.05450284184301246,0.046631458465490994,0.7940207632071176,1.0456291682927614,0.7907714873009967,2.0,3.0,1.0,3.0,184.52718124389648,0.9901645873620095,5.206091836486326,0.5947019357930294,-1.8450381718185138,4.611389900693297,6.508184018367613,True,True,False,True
2016-09-21,25.967256546020508,26.06787704672819,25.71341533210085,26.035861194948502,144012800,184.76698303222656,0.37992750614858223,-0.7136079949200955,1.124556464247561,0.3522393808696005,3.14399080203853,-0.017573990318075272,-0.027688125278981734,3.8575987969586256,-1.142130454565636,26.124588012695312,24.892203521728515,1.0495088548465001,-0.0045642852783203125,0.0,0.0045642852783203125,66.9241571969267,1.6342499556643042,2.2613056270168523,0.04789612911032082,0.043178639172066324,0.8144593499879991,1.0431883430228897,0.834419850711397,2.0,3.0,2.0,4.0,184.439453125,1.0017758126131755,1.5925719029957763,1.7641009367274307,-0.9406754453333832,-0.1715290337316544,5.258539362540016,True,True,False,False
2016-09-22,26.211952209472656,26.28513155432334,26.07016646550368,26.15020610131955,124296000,185.93125915527344,-1.151110392935162,-1.519450946644989,0.6301321285544859,-2.128787453214862,2.1287365167553434,0.9423238955508688,-0.9776770602797,3.6481874634003324,0.31219176699638296,26.081139373779298,24.967555618286134,1.0446012325963372,0.24469566345214844,0.24469566345214844,-0.0,67.57245448027084,1.6248257883743833,1.9795047731142192,0.08623973702502452,0.061001716426990704,0.6971176091517718,1.0498405454747493,0.839781413442378,1.0,2.0,1.0,3.0,184.4576416015625,1.00798892114697,-0.8219818698936288,1.3921586688770304,0.196030852164375,-2.214140538770659,5.904140790534695,True,True,False,False
