Date,Close,High,Low,Open,Volume,SPY_Close,SPY_5d_return,SPY_20d_return,SPY_daily_return,future_5d_return,future_20d_return,daily_return,rel_5d_return,rel_20d_return,rel_daily_return,5d_MA,20d_MA,MA_ratio,change,gain,loss,RSI,20d_volatility,10d_volatility,return_10d,return_20d,volume_ratio,close_MA20_ratio,SPY_volatility_20d,return_class_5d,return_class_20d,rel_class_5d,rel_class_20d,SPY_20d_MA,SPY_MA_ratio,stock_5d_return,SPY_5d_return_past,SPY_20d_return_past,rel_5d_performance,rel_20d_performance,outperform_20d,outperform_20d_past,outperform_5d,outperform_5d_past
2016-09-09,28.715347290039062,29.48508777792524,28.715347290039062,29.25011381273098,29457900,181.6746826171875,0.5475787805915423,1.3345112038804552,-2.3934774601451214,6.292327815296226,7.505623339102359,-2.744258190981724,5.744749034704684,6.171112135221904,-0.35078073083660266,29.32952423095703,28.777336406707764,1.0191882881878032,-0.8102588653564453,0.0,0.8102588653564453,53.24667384073568,0.8620639725667165,1.1000212860770888,0.009974421103806863,0.021914489438213947,1.6572937939880843,0.9978459049929912,0.6040276275530128,5.0,4.0,5.0,4.0,185.7357322692871,0.9781353345288901,-1.6102340802883197,-1.8906084295304715,-2.456010820240806,0.28037434924215177,4.647459764062201,True,True,True,True
2016-09-12,29.233917236328125,29.266324993424,28.40745915844592,28.51278977802753,22796600,184.28125,-0.8560364380193318,0.4215514112048499,1.4347444262802875,2.9933270663937313,5.3769193589975,1.8058982224775213,3.849363504413063,4.95536794779265,0.37115379619723377,29.32952423095703,28.83851041793823,1.0170263236867247,0.5185699462890625,0.5185699462890625,-0.0,59.99997384456744,0.9341370896018399,1.2231725454223286,0.023256037527552564,0.04367944077764685,1.2574579619578783,1.0137110694227793,0.6973679041945582,4.0,4.0,5.0,4.0,185.64543838500975,0.9926516460793366,0.0,-0.9296263996998899,-0.9704473963392468,0.9296263996998899,5.338391474103932,True,True,True,True
2016-09-13,28.85309600830078,29.071864584448345,28.61812200900876,28.96653087944357,23591300,181.6321258544922,0.5946934849018053,0.5994148079677452,-1.4375440504705783,4.296534246752831,4.661615147998338,-1.3026691734425124,3.7018407618510256,4.062200340030593,0.1348748770280659,29.173955535888673,28.866869163513183,1.0106380214160404,-0.38082122802734375,0.0,0.38082122802734375,52.60542586529672,0.9745573361419443,1.2927705734611072,0.0016876082566330552,0.020051491678775513,1.2847804924538964,0.9995228732588081,0.757917280209693,4.0,3.0,5.0,4.0,185.39585876464844,0.9796989375316407,-2.625105679727746,-2.648041562987513,-2.6746827540036544,0.02293588325976703,4.679831921881206,True,True,True,True
2016-09-14,28.861194610595703,29.02324573677629,28.68294115357839,28.772066336652973,14074500,181.56394958496094,1.764118337924065,0.7692175166348362,-0.037535358467293875,5.137580495570244,4.239220787151202,0.028068399635837963,3.373462157646179,3.4700032705163664,0.06560375810313183,29.037832260131836,28.883479499816893,1.0053439808149125,0.008098602294921875,0.008098602294921875,-0.0,56.20041626579405,0.9582314139126268,1.2852931758868906,-0.002240998092784441,0.01164453248110009,0.7712137198178282,0.9992284555182719,0.7527226679459702,5.0,3.0,5.0,4.0,185.19099655151368,0.9804145609986832,-2.3039087855137197,-2.6756920517960414,-2.2068393387889684,0.3717832662823217,3.3712925868989774,True,True,True,True
2016-09-15,29.622833251953125,29.695756102407643,28.79637531042463,28.95842643264223,23736000,183.3783416748047,1.3921669898101021,-0.5546234723703002,0.9993129660327886,2.7078540735834036,1.1214484985283526,2.6389712956573335,1.3156870837733015,1.676071970898653,1.6396583296245448,29.05727767944336,28.945868682861327,1.003848873834213,0.7616386413574219,0.7616386413574219,-0.0,65.73872586454155,1.105436512711071,1.5336192066782501,0.018668298890600843,0.04397467771410035,1.2812592355682229,1.0233872604242353,0.7904727594078836,4.0,3.0,4.0,3.0,185.05939102172852,0.9909161629807457,0.3292975461567371,-1.4781697584224207,-1.415033705673352,1.8074673045791578,5.812501477083387,True,True,True,True
2016-09-16,30.5222110748291,30.830107899184014,30.181906498595843,30.562726173696184,74577900,182.66949462890625,1.2279069798523619,-0.117179003206635,-0.3865489454340669,-1.2742503028758947,-0.5839988416758597,3.036096565194951,-2.5021572827282563,-0.4668198384692247,3.422645510629018,29.418650436401368,29.055252361297608,1.0125071388327647,0.8993778228759766,0.8993778228759766,-0.0,71.47940410436695,1.2670644621826013,1.7792917045109828,0.04580772528082555,0.07720872692043534,3.4767992406583446,1.0504885896460332,0.7903737526730561,2.0,2.0,1.0,2.0,184.8714744567871,0.9880891314663283,6.292327815296228,0.5475787805915511,-2.0159712103733796,5.744749034704677,9.736843902416915,False,True,False,True
2016-09-19,30.108983993530277,30.805801666238224,30.05226656350689,30.53841684681247,30531700,182.7037353515625,0.3889032537387027,-0.48265060208764693,0.018744630966330833,-1.3724441473556908,0.34984019477276435,-1.3538569675890961,-1.7613474010943935,0.8324907968604113,-1.372601598555427,29.5936637878418,29.133036613464355,1.0158111624438269,-0.4132270812988246,0.0,0.4132270812988246,63.807784881094136,1.3205032996095813,1.8700917242068011,0.02993327066393725,0.05448354833003721,1.3780414350782513,1.0334996791791649,0.7907134599386267,2.0,2.0,1.0,3.0,184.69889907836915,0.9891977497604895,2.993327066393725,-0.8560364380193364,-1.8541017240347624,3.8493635044130614,7.302456557038484,True,True,False,True
2016-09-20,30.0927791595459,30.32775314044109,29.93072803165721,30.319648884069156,24796900,182.7122802734375,1.0073965495240111,0.13589180500260895,0.004676927846361584,0.1076801373214894,1.6424437591694336,-0.05382059383956827,-0.8997164122025217,1.5065519541668246,-0.05849752168592985,29.84160041809082,29.20514907836914,1.0217924359164827,-0.016204833984378553,0.0,0.016204833984378553,62.63152004275216,1.3223983406406958,1.835233402464895,0.015586400024821367,0.05033935864607786,1.0948516113991833,1.0303929310134625,0.7907690056489478,2.0,3.0,2.0,3.0,184.52717514038085,0.990164620113202,4.296534246752826,0.5946934849017982,-1.8450381718185138,3.7018407618510274,6.8789740364263,True,True,False,True
2016-09-21,30.34396171569824,30.35206288204388,29.86591253872466,30.14949972384945,21233700,184.76695251464844,0.3799358272977525,-0.7135337872093447,1.1245397617149893,-0.02671448034834512,-5.180252027550476,0.8346937809253859,-0.4066503076460976,-4.466718240341131,-0.28984598078960333,30.13815383911133,29.288199996948244,1.0290203509349038,0.2511825561523402,0.2511825561523402,-0.0,63.40208082815711,1.3281789091269751,1.8380015641046858,0.027153065416562372,0.05790962076849615,0.9315263204651116,1.0360473405282675,0.8344161421346384,2.0,1.0,2.0,1.0,184.439444732666,1.0017756927345836,5.137580495570249,1.76411833792407,-0.9406999105112113,3.3734621576461787,6.731661987360827,False,True,False,True
2016-09-22,30.424976348876957,30.65184911779802,30.335848092250917,30.465488349834,17013400,185.9312744140625,-1.1511102984671886,-1.5194918553601782,0.6301570078240882,-0.6124772356118212,-5.64577514896766,0.2669876594815425,0.5386330628553674,-4.126283293607482,-0.3631693483425457,30.298582458496092,29.385429859161377,1.0310750124708497,0.08101463317871804,0.08101463317871804,-0.0,63.212323164315976,1.3074162086995638,1.8342338961503026,0.030460685167579493,0.06827848874903664,0.7452858373174721,1.0353762560118374,0.8397787823717229,2.0,1.0,3.0,1.0,184.4576332092285,1.0079890497302568,2.7078540735834045,1.3921669898101063,0.19603083604520233,1.3156870837732981,6.631818038858461,False,True,True,True
